Düşünce Zinciri (CoT) yöntemini tetikleyen 'sihirli kelime' öbeği nedir?,'Adım adım düşün' veya 'Let's think step by step'.
Karmaşık bir problemi çözmesi istenen AI'da CoT kullanılmazsa ne gibi bir risk oluşur?,Modelin mantıksal adımları atlayıp halüsinasyon görme riski artar.
Sınırlı bağlam penceresi olan modellerde sistemin boğulmasını önleyen taktik hangisidir?,Komutu Parçalara Bölme (Chunking).
Metin üretimi senaryolarında odaklanılması gereken temel parametreler nelerdir?,"Ton, stil ve uzunluk."
Kod yazma istemlerinde kritik bir parametre olarak ne belirtilmelidir?,Spesifik hata mesajları (Örn: NullPointerException) ve nedenleri.
Görsel üretimi istemlerinde 'soyut umut' yerine ne tür ifadeler kullanılmalıdır?,"Somut detaylar (Örn: 'Parlak renkli, akan şekiller')."
Aynı soruyu birden fazla kez sorup en tutarlı cevabı seçme tekniğine ne ad verilir?,Self-Consistency (Öz-Tutarlılık).
Self-Consistency tekniği en çok hangi durumlarda kullanılmalıdır?,"Kritik kararlar, matematik problemleri veya belirsizlik olan durumlarda."
Çıktının makine tarafından okunabilir olması için hangi format kısıtlaması önerilir?,JSON formatı.
İstem mühendisliğinde 'Kütüphane Tutun' tavsiyesinin amacı nedir?,"İşe yarayan istemleri kaydedip, etiketleyip yeniden kullanmaktır."
A/B Testi istem mühendisliğinde nasıl uygulanır?,Farklı istem varyasyonlarını karşılaştırarak hangisinin daha iyi sonuç verdiğini takip ederek uygulanır.
Yaygın bir hata olan 'Bağlam Eksikliği' nasıl düzeltilir?,AI'ya neyin 'iyi' olduğunu anlaması için spesifik kullanım alanı (Örn: SaaS startup) belirtilerek düzeltilir.
Çok karmaşık istemlerin yaratacağı kafa karışıklığını önlemek için ne yapılmalıdır?,Görevi küçük parçalara bölüp adım adım sormak gerekir.
CRAFTED projesindeki 'E' harfi (Example) neyi ifade eder?,İsteme en az bir adet few-shot örneği dahil edilmesini ifade eder.
Bir istemin 'Adaptive' (Uyarlanabilir) olması ne anlama gelir?,Yapay zekânın verdiği cevaba göre komutun yeniden ayarlanmış olmasıdır.
Persona tasarımında modelin eğitim verisindeki hangi metinlere ağırlık vermesi beklenir?,Verilen role benzer metinlere ağırlık vermesi beklenir.
İstemde 'Frame' (Sınırlar) kullanımına bir örnek veriniz.,"'Sadece ekonomik etkilere odaklan, siyasi olayları hariç tut.'"
Düşünce Zinciri (CoT) yönteminde matematiksel işlem hatası nasıl azaltılır?,Modelden karmaşık mantığı adım adım çözmesi istenerek azaltılır.
Few-Shot Prompting tekniği ne zaman tercih edilmelidir?,Modelin belirli bir formatı veya tonu taklit etmesi istendiğinde tercih edilmelidir.
İstem mühendisliğinde 'Belirsiz Sonuç' almanın en temel sebebi nedir?,Komutun çok belirsiz ve aşırı genel olmasıdır.
Sentez Matrisi'nde 'Denetçinin Kontrol Listesi' hangi kısaltma ile temsil edilir?,CLEAR.
C.L.E.A.R. kriterlerinden 'Logical' (Mantıksal) neyi sorgular?,Kavramların doğal ve doğru bir sırayla sunulup sunulmadığını sorgular.
Chunking (Parçalara Bölme) tekniğinde her adımdan sonra modelden ne beklenir?,Modelin bir sonraki komut için beklemesi ve adım adım ilerlemesi beklenir.
Görsel üretimi istemlerinde çözünürlük ve sanat akımı hangi kategoride değerlendirilir?,Odak noktası (Focus) kategorisinde değerlendirilir.
İstem mühendisliği neden bir 'Bilimsel Metot' olarak tanımlanır?,"İhtiyaç belirleme, bağlam sunma, yapılandırma ve test etme gibi sistematik adımlar içerdiği için."
Modelin belirli terminolojiyi 'otomatik aktive etmesi' neye bağlıdır?,Modele doğru bir rol ve persona atanmasına bağlıdır.
