Yapay sinir ağlarında tek bir nöronun matematiksel denklemi nedir?,$a = \phi(\sum w_j x_j + b)$
Sinir ağlarında negatif değerleri sıfıra eşitleyen en yaygın aktivasyon fonksiyonu hangisidir?,"ReLU ($g(z) = \max(0, z)$)."
Doğrusal regresyon veya lojistik regresyonun çözemediği klasik mantıksal problem hangisidir?,XOR Paradoksu.
Sinir ağlarında katmanlar boyunca verinin işlenerek tahmin üretilmesi sürecine ne ad verilir?,İleri Besleme (Forward Propagation).
Ağırlıkların hata payına göre güncellenmesini sağlayan matematiksel kural nedir?,Zincir Kuralı (Chain Rule) tabanlı Geri Yayılım.
Gradyan İnişi (Gradient Descent) algoritmasında öğrenme hızı ($\alpha$) neyi belirler?,Parametre güncellemeleri sırasında atılan adımların büyüklüğünü.
Regresyon modellerinde 'Artık Değer' (Residual) nedir?,Gerçek değer ile tahmin edilen değer arasındaki fark ($y_i - \hat{y}_i$).
Ortalama Mutlak Hata (MAE) metriğinin en güçlü yönü nedir?,Aykırı değerlere (outliers) karşı dirençli olması.
Ortalama Kare Hata (MSE) metriğinin MAE'den temel farkı nedir?,Hataların karesini aldığı için büyük hataları daha sert cezalandırması.
RMSE metriği MSE'ye göre neden daha yorumlanabilirdir?,Karekök işlemi sayesinde hata birimini orijinal verinin birimine döndürdüğü için.
MAPE metriği hangi durumlarda hatalı veya tanımsız sonuçlar üretir?,Gerçek değerler sıfır veya sıfıra çok yakın olduğunda.
$R^2$ (R-Kare) skoru neyi ölçer?,"Bağımsız değişkenlerin, bağımlı değişkendeki varyansın ne kadarını açıkladığını."
Düzeltilmiş R-Kare (Adjusted $R^2$) neden standart $R^2$'den daha güvenilirdir?,Modele eklenen alakasız değişkenler için penalizasyon uygulayarak 'yalancı başarıyı' engellediği için.
Boyutların Laneti (Curse of Dimensionality) nedeniyle yüksek boyutlarda veri noktaları arasındaki mesafe nasıl değişir?,Tüm noktalar birbirine neredeyse eşit uzaklıkta görünür ve 'yakınlık' kavramı anlamını yitirir.
KD-Ağaçları hangi boyut aralığında verimli arama yapabilmektedir?,Genellikle 2 ile 8 boyut arasında.
Boyut düşürmede 'Kernel PCA' hangi tür veriler için uygundur?,"Doğrusal olarak ayrılamayan, karmaşık yapılara sahip veriler için."
Çok sınıflı sınıflandırma problemlerinde kullanılan hata fonksiyonu hangisidir?,Çapraz Entropi (Cross-Entropy Loss).
Sinir ağlarında 'Dropout' tekniği neden kullanılır?,Nöronları rastgele kapatarak aşırı öğrenmeyi (overfitting) engellemek için.
Batch Normalization'ın temel amacı nedir?,Eğitimi hızlandırmak ve gradyan sorunlarını azaltmak için girdi değerlerini normalize etmek.
Evrensel Yaklaşım Teoremi (Universal Approximation Theorem) neyi savunur?,Yeterli genişlikteki tek bir gizli katmana sahip sinir ağının her türlü sürekli fonksiyonu temsil edebileceğini.
